nachname;vorname;geburtsjahr;partei;wahlkreis;landeslistePlatz;bundesland;jahr
Rappers;Thomas Michael;1962;LKR;28;7;Niedersachsen;2021
Ferlemann;Enak Matthias;1963;CDU;29;5;Niedersachsen;2021
Schneider;Daniel Dominik;1976;SPD;29;23;Niedersachsen;2021
Wichert;Günter Ernst;1966;FDP;29;27;Niedersachsen;2021
Kappelt;Hans Olaf;1953;AfD;29;1;Bremen;2021
Wenzel;Peer Stefan;1962;GRÜNE;29;10;Niedersachsen;2021
Buttler;Dietmar Gerhard;1953;DIE LINKE;29;;;2021
Sieling;Dirk;1967;Die PARTEI;29;;;2021
Berghoff;Susanne Sabine Cornelia;1956;Tierschutzpartei;29;1;Niedersachsen;2021
Theis;Claudia;1966;FREIE WÄHLER;29;1;Niedersachsen;2021
Geest;Peter Jens;1957;dieBasis;29;;;2021
Grundmann;Oliver Klaus;1971;CDU;30;18;Niedersachsen;2021
Köser;Kai;1978;SPD;30;32;Niedersachsen;2021
Hermeling;Steven;1997;FDP;30;14;Niedersachsen;2021
Kaiser;Marie-Thérèse;1996;AfD;30;;;2021
Goldenstein;Claas Fiete;1993;GRÜNE;30;22;Niedersachsen;2021
Kowalski;Klemens;1979;DIE LINKE;30;;;2021
Klaus;Richard Bodo;1965;PIRATEN;30;11;Niedersachsen;2021
Bartos;Kai;1975;dieBasis;30;;;2021
Stegemann;Albert;1976;CDU;31;29;Niedersachsen;2021
Ridder;Daniela Friederike;1962;SPD;31;24;Niedersachsen;2021
Beeck;Jens;1969;FDP;31;2;Niedersachsen;2021
Meiners;Danny;1979;AfD;31;7;Niedersachsen;2021
Hüsemann;Everhard;1960;GRÜNE;31;26;Niedersachsen;2021
Hoffmann;Helmuth;1985;DIE LINKE;31;;;2021
Kehl;Mario;1972;dieBasis;31;;;2021
Breher;Silvia Maria;1973;CDU;32;30;Niedersachsen;2021
Bartz;Alexander;1984;SPD;32;25;Niedersachsen;2021
Abeln;Carolin;1992;FDP;32;15;Niedersachsen;2021
Herdt;Waldemar;1962;AfD;32;;;2021
Meyer;Tanja;1973;GRÜNE;32;20;Niedersachsen;2021
Dobrowolski;Tom;1988;DIE LINKE;32;;;2021
Lorenz;Melanie;1986;dieBasis;32;;;2021
Knoerig;Axel;1967;CDU;33;24;Niedersachsen;2021
Schierenbeck;Peggy;1970;SPD;33;20;Niedersachsen;2021
Hinderks;Jan Andreas;1977;FDP;33;26;Niedersachsen;2021
Muhle;Alfons Josef August;1957;AfD;33;;;2021
Holste-Hagen;Sylvia;1961;GRÜNE;33;27;Niedersachsen;2021
Abelmann;Jürgen;1958;DIE LINKE;33;;;2021
Pigors;Detlev;1961;dieBasis;33;;;2021
Gums;Rüdiger;1959;EB: Gums 33; 33;;;2021
Mattfeldt;Andreas;1969;CDU;34;21;Niedersachsen;2021
Harjes;Michael;1974;SPD;34;30;Niedersachsen;2021
Hocker;Gero Clemens;1975;FDP;34;6;Niedersachsen;2021
Gumnior;Lena Maria;1992;GRÜNE;34;17;Niedersachsen;2021
Ciftci;Mizgin;1992;DIE LINKE;34;4;Niedersachsen;2021
Paetz;Dominique;1985;FREIE WÄHLER;34;4;Niedersachsen;2021
Körner;Anton;1974;dieBasis;34;;;2021
Büttinghaus;Carsten;1982;CDU;35;28;Niedersachsen;2021
Klingbeil;Lars;1978;SPD;35;5;Niedersachsen;2021
Künzle;Claus Alexander;1985;FDP;35;23;Niedersachsen;2021
Körlin;Volker Hans Markus;1960;AfD;35;11;Niedersachsen;2021
Kopatz;Michael;1971;GRÜNE;35;28;Niedersachsen;2021
Otte;Kathrin Susanne;1961;DIE LINKE;35;;;2021
Scheunemann;Günter Werner;1954;FREIE WÄHLER;35;6;Niedersachsen;2021
Grosse-Brömer;Michael;1960;CDU;36;2;Niedersachsen;2021
Stadler;Svenja;1976;SPD;36;4;Niedersachsen;2021
Ruschmeyer;Nino;1981;FDP;36;12;Niedersachsen;2021
Schwieger;Henning;1960;AfD;36;;;2021
Weippert;Nadja;1982;GRÜNE;36;19;Niedersachsen;2021
Kotteck;Joachim;1952;DIE LINKE;36;;;2021
Jonas-Tadjik;Mona;1981;Tierschutzpartei;36;4;Niedersachsen;2021
Klingenberg;Willy Walter;1962;FREIE WÄHLER;36;10;Niedersachsen;2021
Bahr;Christian Holger;1971;dieBasis;36;;;2021
Schröder;Hans-Christian;1962;LKR;36;1;Niedersachsen;2021
Pols;Eckhard;1962;CDU;37;17;Niedersachsen;2021
Blankenburg;Jakob;1997;SPD;37;15;Niedersachsen;2021
Schmidt-Jortzig;Edzard Aurelius;1969;FDP;37;;;2021
Hampel;Armin-Paulus;1957;AfD;37;;;2021
Verlinden;Julia Maria Kornelia;1979;GRÜNE;37;5;Niedersachsen;2021
Peters;Thorben;1987;DIE LINKE;37;;;2021
Hilbeck;Meike;1998;Die PARTEI;37;22;Niedersachsen;2021
Heinecke;Volker;1975;FREIE WÄHLER;37;16;Niedersachsen;2021
Köppen;Sören;1975;dieBasis;37;;;2021
Gerken;Fronke Christian;1960;LKR;37;10;Niedersachsen;2021
Großkopf;Tristan;1999;EB: Großkopf 37; 37;;;2021
Berghegger;André;1972;CDU;38;22;Niedersachsen;2021
Hennig;Anke;1964;SPD;38;18;Niedersachsen;2021
Seestern-Pauly;Matthias;1984;FDP;38;7;Niedersachsen;2021
Lapinskas;Roland;1981;AfD;38;;;2021
Polat;Filiz;1978;GRÜNE;38;1;Niedersachsen;2021
Adams;Swen;1976;DIE LINKE;38;;;2021
Vagedes;Josef Heinrich Nikolaus;1952;FREIE WÄHLER;38;11;Niedersachsen;2021
Wehlburg;Jürgen Wilhelm Walter Joachim;1957;dieBasis;38;;;2021
Middelberg;Mathias Wolfgang Antonius;1964;CDU;39;4;Niedersachsen;2021
Gava;Manuel;1991;SPD;39;21;Niedersachsen;2021
Ali;Nemir;1996;FDP;39;16;Niedersachsen;2021
Meyer;Florian Fritz;1982;AfD;39;;;2021
Klein;Thomas;1955;GRÜNE;39;16;Niedersachsen;2021
Reichinnek;Heidi;1988;DIE LINKE;39;3;Niedersachsen;2021
