wahlberechtigte;wahlkreis;jahr
240763;Darmstadt;2021
219511;Offenbach;2021
227207;Frankfurt am Main II;2021
197782;Bergstraße;2021
209203;Eichsfeld – Nordhausen – Kyffhäuserkreis;2021
212267;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;2021
190519;Gotha – Ilm-Kreis;2021
198697;Jena – Sömmerda – Weimarer Land I;2021
219437;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;2021
217944;Erfurt – Weimar – Weimarer Land II;2021
229588;Gera – Greiz – Altenburger Land;2021
195109;Ahrweiler;2021
230071;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;2021
238118;Neuwied;2021
193035;Koblenz;2021
171102;Mosel/Rhein-Hunsrück;2021
163493;Bitburg;2021
182380;Kreuznach;2021
190530;Trier;2021
210816;Montabaur;2021
212943;Worms;2021
249630;Mainz;2021
210969;Ludwigshafen/Frankenthal;2021
219416;Neustadt – Speyer;2021
224701;Kaiserslautern;2021
217000;Südpfalz;2021
174093;Pirmasens;2021
168656;Altötting;2021
200569;Erding – Ebersberg;2021
237250;Freising;2021
238384;Ingolstadt;2021
223683;München-Nord;2021
214606;München-Süd;2021
231905;Fürstenfeldbruck;2021
242591;München-Ost;2021
242252;München-West/Mitte;2021
234912;München-Land;2021
237390;Rosenheim;2021
166662;Bad Tölz-Wolfratshausen – Miesbach;2021
208815;Traunstein;2021
166186;Deggendorf;2021
214828;Starnberg – Landsberg am Lech;2021
168473;Weilheim;2021
177563;Passau;2021
246854;Landshut;2021
173632;Rottal-Inn;2021
173772;Straubing;2021
216071;Amberg;2021
248192;Regensburg;2021
222424;Schwandorf;2021
165807;Weiden;2021
182586;Bamberg;2021
162430;Bayreuth;2021
156571;Coburg;2021
162872;Hof;2021
168923;Kulmbach;2021
187299;Erlangen;2021
188283;Nürnberg-Nord;2021
250730;Fürth;2021
243174;Ansbach;2021
177316;Nürnberg-Süd;2021
229279;Roth;2021
182652;Aschaffenburg;2021
214061;Bad Kissingen;2021
194408;Main-Spessart;2021
196710;Schweinfurt;2021
249372;Augsburg-Land;2021
207543;Augsburg-Stadt;2021
224907;Würzburg;2021
195774;Donau-Ries;2021
241919;Neu-Ulm;2021
250575;Ostallgäu;2021
228803;Oberallgäu;2021
178958;Stuttgart II;2021
191811;Stuttgart I;2021
245553;Böblingen;2021
166628;Esslingen;2021
205967;Nürtingen;2021
177107;Göppingen;2021
221775;Waiblingen;2021
215312;Ludwigsburg;2021
230738;Neckar-Zaber;2021
225874;Schwäbisch Hall – Hohenlohe;2021
240951;Heilbronn;2021
220686;Aalen – Heidenheim;2021
177062;Backnang – Schwäbisch Gmünd;2021
205608;Karlsruhe-Stadt;2021
209147;Karlsruhe-Land;2021
204890;Rastatt;2021
218431;Heidelberg;2021
196863;Mannheim;2021
196882;Rhein-Neckar;2021
209418;Odenwald – Tauber;2021
195755;Bruchsal – Schwetzingen;2021
199092;Calw;2021
217126;Pforzheim;2021
224392;Freiburg;2021
231076;Lörrach – Müllheim;2021
205893;Offenburg;2021
218872;Emmendingen – Lahr;2021
198182;Rottweil – Tuttlingen;2021
162800;Schwarzwald-Baar;2021
177275;Waldshut;2021
206009;Konstanz;2021
199189;Reutlingen;2021
198791;Tübingen;2021
169147;Biberach;2021
223376;Ulm;2021
174430;Bodensee;2021
187817;Ravensburg;2021
203279;Saarlouis;2021
192929;Saarbrücken;2021
182648;Zollernalb – Sigmaringen;2021
173074;St. Wendel;2021
185941;Homburg;2021
