id;vorname;nachname;geburtsjahr;partei_id;jahr
598;Stefan;Günther;1981;12;2021
599;Jürgen Manfred;Buro;1960;76;2021
600;Christoph;Schlippenbach;1964;77;2021
601;Uwe Wolfgang Werner;Feiler;1965;1;2021
602;Ulrich Helmut;Storm;1948;3;2021
603;Ariane;Fäscher;1968;2;2021
604;Anke Margarete;Domscheit-Berg;1968;5;2021
605;Ralf;Tiedemann;1965;4;2021
606;Annemarie;Schumacher;1965;6;2021
607;Rick;Grothe;1987;9;2021
608;Stefanie;Gebauer;1980;8;2021
609;Nathanael Johannes;Uhlig;1994;13;2021
610;André Sven;Lingreen;1965;28;2021
611;Thomas;Ney;1986;12;2021
612;Sabine;Buder;1984;1;2021
613;Lars;Günther;1976;3;2021
614;Simona;Koß;1961;2;2021
615;Niels-Olaf;Lüders;1966;5;2021
616;Mirko;Dachroth;1975;4;2021
617;Kim;Stattaus;1977;6;2021
618;Mario;Schlauß;1987;9;2021
619;Hans-Günter Rolf;Schleife;1949;21;2021
620;Roman;Kutschick;1963;13;2021
621;Dirk;Herzog;1968;28;2021
622;Ralf;Lorenz;1966;78;2021
623;Olaf;Schütz;1973;79;2021
624;Dietlind Hildegard;Tiemann;1955;1;2021
625;Axel;Brösicke;1976;3;2021
626;Sonja Katharina;Eichwede;1987;2;2021
