Wahlkreis_Nr;SVB_insgesamt;SVB_landw_fischerei;SVB_produz_gewerbe;SVB_handel_gast_verkehr;SVB_dienstleister;SVB_uebrige_dienstleister;Alter_unter_18;Alter_18_24;Alter_25_34;Alter_35_59;Alter_60_74;Alter_75_plus;ALQ_frauen;ALQ_15_24;ALQ_55_64;ALQ_insgesamt;ALQ_maenner;year
140;352.2;0;18;22.7;21.7;37.6;14.3;8.9;14.4;34.2;16.6;11.7;8.7;8.6;10.1;9.9;10.9;2017
141;306.7;0;22.1;23.1;19.2;35.6;15.3;8.4;12.8;35.2;16.7;11.6;10.6;9;10.8;11.5;12.3;2017
142;382.6;0.1;18.4;23.1;26.8;31.6;15.9;8.9;14.2;34.7;15.6;10.7;10.8;10.9;10.8;11.5;12.1;2017
143;385.6;0.1;18.4;23.1;26.8;31.6;15.9;8.9;14.2;34.7;15.6;10.7;10.8;10.9;10.8;11.5;12.1;2017
144;311.7;0.3;28.3;29;15.6;26.8;16;7.7;10.7;36.6;17.6;11.5;7.8;4.2;8.5;8.2;8.6;2017
145;315.8;0.2;26.3;26.5;16.4;30.5;17.1;8.4;11.7;35.6;16.3;10.9;8.6;4.8;8.1;8.9;9.2;2017
146;360.9;1.4;38.6;20.5;13.2;26.4;17.3;8.2;11.3;36.4;15.9;10.9;5.7;3.2;6.6;6;6.3;2017
147;385.2;0.9;41.2;18.9;11.4;27.6;16.8;8;11;36.2;16.2;11.7;4.5;1.4;5.1;4.8;5;2017
148;405.1;0.3;42;19.6;14.1;24;16.2;9.2;12.6;34.7;16.3;11.1;5.3;3.4;6;5.4;5.5;2017
149;394.9;0.4;52.6;15.1;11.2;20.7;17.3;8;11.7;36.4;15.8;10.8;5.4;2.2;6.3;5.5;5.5;2017
150;379.8;0.3;50.8;15.7;11.4;21.9;16.5;8;11;36.3;16.7;11.4;6.6;3.1;7.6;6.7;6.8;2017
151;361.6;3.3;29.2;30;9.9;27.6;14.7;4.1;11.1;37.5;19.3;13.3;7.9;7.7;10.9;8.4;8.9;2017
152;470.6;0.1;15.9;21.7;33.2;29.2;15.2;7.7;19.4;31.4;15.1;11.2;7.3;9.2;9.4;8.3;9.1;2017
153;468;0.1;15.9;21.7;33.2;29.2;15.2;7.7;19.4;31.4;15.1;11.2;7.3;9.2;9.4;8.3;9.1;2017
154;291.7;2.3;32.3;24.7;10.5;30.2;15.1;4;10.4;37.3;20;13.2;5.8;5.2;7.9;6.6;7.3;2017
155;358.9;2.6;36;23.4;11.6;26.4;15.5;4.1;10.8;35.9;19.5;14.2;6.9;3.6;9.5;7.2;7.6;2017
156;360.2;1.8;35.2;19.9;14.1;29;15.2;3.9;10.6;36;19.9;14.4;6.4;4.3;8.9;6.9;7.3;2017
157;322.5;2.3;31.3;19.3;11.4;35.7;14.5;4.3;10.2;34.7;21;15.3;9.2;6.2;13.3;10.2;11.2;2017
158;311.2;2.2;35.6;20.2;9;33;15.9;4.1;10.9;35.3;19.9;13.9;5.7;4.6;8.3;6.4;7.1;2017
159;471.5;0.2;17.7;20.1;27.2;34.9;15.9;8;18.2;30.8;15.4;11.6;6.2;7.1;8.9;7.1;7.8;2017
160;451.2;0.4;19.9;20;25.5;34.1;16;7.4;17.1;31.8;15.9;11.9;6.3;6.5;8.9;7;7.7;2017
161;353.9;2.8;36.8;20.1;12.1;28.3;14.7;4.7;11.6;34.6;20.1;14.2;6;5.1;8.4;6.5;6.9;2017
162;465;0.2;22.6;19.8;26.8;30.7;14.3;6.3;14.8;30.7;20.1;13.9;7.5;7.9;9.2;8.2;8.8;2017
163;351.4;1.8;39.1;19.4;11.7;28;14.5;3.9;10.2;35;21.6;14.7;5.9;4.7;8;6.4;6.7;2017
164;323.8;1.8;42.8;18.2;8.3;28.9;14.9;4.2;10.4;34.4;21.9;14.1;5.7;4.5;7.5;6.2;6.6;2017
165;381.1;1.1;37.4;20;14.6;26.9;14;4.7;11.2;34.4;21.1;14.6;6.1;4.6;8.3;6.4;6.7;2017
166;345.4;1.6;36.4;19.7;12.3;30.1;13.8;4.2;10.5;34.7;21.7;15;6;5.2;8.4;6.7;7.3;2017
167;344.2;0.8;41;19.9;10;28.3;15.7;7.5;10.3;36.2;18;12.4;4;2.9;5.1;4.4;4.7;2017
168;465.6;0.2;26.3;21.3;20;32.3;15.2;8.9;14.2;34.1;16.5;11;6.6;6.8;6.9;7.3;7.9;2017
169;336.4;1.1;29.4;28.9;10.9;29.6;15.5;7.3;10.5;35.5;18.2;13;4.7;3.4;5.7;5.2;5.6;2017
170;315.7;0.9;34.9;23.6;10.8;29.8;15.9;7.6;10.9;36.6;17.2;11.9;4.4;3.1;5.5;4.8;5.2;2017
171;365.9;0.3;37;14.8;13.7;34.2;16.1;10.8;13.8;34.2;14.9;10.2;3.6;2.5;3.9;4;4.3;2017
172;360.6;0.2;40.1;19.1;13.9;26.6;16.4;8;11.3;36.2;16.8;11.3;5.5;3.4;6.6;5.6;5.7;2017
173;348;0.5;27;22.1;14.8;35.6;15.5;10.7;14.4;34;15.3;10.1;5;3.4;6.3;5.8;6.4;2017
174;393.3;0.5;31.7;24.1;17.3;26.3;16.9;8.4;11.7;35.7;15.8;11.5;3.2;2.2;4.3;3.4;3.6;2017
175;302.2;0.6;32.3;23.5;18.1;25.6;15.9;7.8;10.9;37;17.3;11.1;4.5;4.2;4.6;4.6;4.8;2017
176;368.7;0.3;21.6;23.4;29.2;25.6;17.4;7.1;10.2;37.5;16.9;11;3.7;2.5;4.3;4;4.3;2017
177;276.6;0.8;25.8;24.5;19.2;29.7;16.8;7.7;11.3;37.5;16.2;10.5;4.1;3.4;4.9;4.5;4.8;2017
178;261.6;0.8;27.8;23.6;16.7;31.2;16.6;7.5;10.6;37.2;17.3;10.8;4.6;2.6;5.1;4.8;5.1;2017
179;472.3;0.2;15.6;20;30.9;33.3;17.6;7.5;13.7;35.7;15.2;10.2;7.2;7.9;7.5;7.3;7.5;2017
180;314.9;0.4;34.4;23.4;18.2;23.6;17.1;7.5;12;36.8;16.6;9.9;4.7;4.7;4.4;4.7;4.7;2017
181;410.8;0.3;15.6;25.3;36.6;22.2;18;6.6;10.7;37.5;16;11.1;3.6;2.7;3.6;3.8;3.9;2017
182;773.3;0;10.6;26.7;43.8;18.7;16.4;7.6;18.4;37;12.9;7.7;5.8;6.6;7.3;6.2;6.5;2017
183;763.1;0;10.6;26.7;43.8;18.7;16.4;7.6;18.4;37;12.9;7.7;5.8;6.6;7.3;6.2;6.5;2017
184;359.2;0.4;33.6;27.8;19.3;18.8;17.6;7.9;13;36.6;15.4;9.5;5.9;4.7;5.5;5.8;5.7;2017
185;358.4;0.2;22.9;27.7;28.7;20.5;17.7;7.7;13.7;35.7;15.4;9.8;6.9;5;6.7;6.6;6.4;2017
186;428.9;0.4;26;19.6;25.9;28;16.4;9.1;14.7;35.2;15.2;9.4;5;4.6;6.1;5.2;5.5;2017
187;294.7;0.6;31;26.1;20.5;21.9;16.4;7.7;11.1;37.1;17.2;10.5;4.8;3.6;5.8;4.9;5;2017
188;269.8;1.1;32.3;25.9;15.4;25.2;16;7.5;11;37.3;17.3;10.9;3.7;0.6;4.5;3.8;3.8;2017
