Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Falk;Jagszent;1976;GRÜNE;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;;;Neustrelitz;Forstbeamter;2021
Klaus-Dieter;Gabbert;1959;FREIE WÄHLER;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;;;Güstrow;Regionalleiter;2021
Lena;Goltz;1980;MLPD;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;;;Alt Schwerin;Geschäftsführerin;2021
Christoph Bernhard;Vries;1974;CDU;Hamburg-Mitte;-1;-1;;de;Hamburg;MdB, Dipl.-Soziologe;2021
Falko;Droßmann;1973;SPD;Hamburg-Mitte;-1;-1;;;Hamburg;Bezirksamtsleiter;2021
Manuel;Muja;1991;GRÜNE;Hamburg-Mitte;-1;-1;;;Hamburg;Politikwissenschaftler;2021
David Christopher;Stoop;1983;DIE LINKE;Hamburg-Mitte;-1;-1;;;Hamburg;Angestellter;2021
James Robert;Blum;1970;FDP;Hamburg-Mitte;-1;-1;;;Hamburg;Kaufmann;2021
Nicole;Jordan;1974;AfD;Hamburg-Mitte;-1;-1;;;Hamburg;Rechtsanwaltsfachangestellte;2021
Arne Gotthard;Ihlenfeld;1978;Die PARTEI;Hamburg-Mitte;-1;-1;;;Hamburg;Künstler, Sozialpädagoge;2021
Ralf;Reimer;1963;FREIE WÄHLER;Hamburg-Mitte;-1;-1;;;Hamburg;Account Manager IT;2021
Sebastian;Bollien;1985;ÖDP;Hamburg-Mitte;-1;-1;;;Hamburg;Politikwissenschaftler;2021
Lennart Sebastian Stefan;Schwarzbach;1990;NPD;Hamburg-Mitte;-1;-1;;;Hamburg;Ingenieur;2021
Joachim Robert Maria;Griesbaum;1955;MLPD;Hamburg-Mitte;-1;-1;;;Hamburg;Schlosser;2021
Dennis;Sommer;1985;dieBasis;Hamburg-Mitte;-1;-1;;;Hamburg;Softwareentwickler;2021
Odin;Janoske-Kizildag;1967;EB: Janoske-Kizildag;Hamburg-Mitte;-1;-1;;;Hamburg;selbstständig;2021
Marcus;Weinberg;1967;CDU;Hamburg-Altona;-1;-1;;;Hamburg;Mitglied des Deutschen Bundestages;2021
Matthias;Bartke;1959;SPD;Hamburg-Altona;-1;-1;Dr.;;Hamburg;Jurist;2021
Linda;Heitmann;1982;GRÜNE;Hamburg-Altona;-1;-1;;;Hamburg;Geschäftsführerin in der Suchtkrankenhilfe;2021
Cansu;Özdemir;1988;DIE LINKE;Hamburg-Altona;-1;-1;;;Hamburg;Studentin;2021
Fabrice;Henrici;1995;FDP;Hamburg-Altona;-1;-1;;;Hamburg;Jurist;2021
Bernd;Baumann;1958;AfD;Hamburg-Altona;-1;-1;Dr.;;Hamburg;Kaufmann;2021
Daniel;Meincke;1991;FREIE WÄHLER;Hamburg-Altona;-1;-1;;;Hamburg;Leitstellendisponent;2021
Karlotta;Ahrens;1987;ÖDP;Hamburg-Altona;-1;-1;;;Hamburg;Studentin;2021
Christian Traugott;Kölle;1952;MLPD;Hamburg-Altona;-1;-1;;;Hamburg;Sozialpädagoge;2021
Ulrike;Zens;1962;dieBasis;Hamburg-Altona;-1;-1;;;Hamburg;Unternehmensberaterin;2021
Frieder Ulrich;Kirsch;1978;PIRATEN;Hamburg-Altona;-1;-1;;;Hamburg;Softwareentwickler;2021
Bérangère Joséphine;Bultheel;1980;ÖLDP;Hamburg-Altona;-1;-1;;;Hamburg;Dipl.-Politikwissenschaftlerin;2021
