Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;jahr
Detlev;Krüger;1970;FREIE WÄHLER;Aurich – Emden;-1;-1;2021
David Janus;Frerichs;2002;dieBasis;Aurich – Emden;-1;-1;2021
Anton Heinrich;Lenz;1954;EB: Lenz;Aurich – Emden;-1;-1;2021
Gitta;Connemann;1964;CDU;Unterems;-1;-1;2021
Anja;Troff-Schaffarzyk;1969;SPD;Unterems;-1;-1;2021
Ferhat;Asi;1992;FDP;Unterems;-1;-1;2021
Holger Uwe;Kühnlenz;1961;AfD;Unterems;-1;-1;2021
Julian Nils Christoph;Pahlke;1991;GRÜNE;Unterems;-1;-1;2021
Kai-Uwe;Jesiek;1965;DIE LINKE;Unterems;-1;-1;2021
Rafael;Gil Brand;1959;dieBasis;Unterems;-1;-1;2021
Siegfried Gert;Balzer;1951;EB: Balzer;Unterems;-1;-1;2021
Anne;Janssen;1982;CDU;Friesland – Wilhelmshaven – Wittmund;-1;-1;2021
Siemtje Victoria Regine Ilse Santjer;Möller;1983;SPD;Friesland – Wilhelmshaven – Wittmund;-1;-1;2021
Hendrik;Theemann;1969;FDP;Friesland – Wilhelmshaven – Wittmund;-1;-1;2021
Franz Josef Joachim;Wundrak;1955;AfD;Friesland – Wilhelmshaven – Wittmund;-1;-1;2021
Sina Maria;Beckmann;1981;GRÜNE;Friesland – Wilhelmshaven – Wittmund;-1;-1;2021
Hans-Henning;Adler;1949;DIE LINKE;Friesland – Wilhelmshaven – Wittmund;-1;-1;2021
Andreas;Tönjes;1969;Die PARTEI;Friesland – Wilhelmshaven – Wittmund;-1;-1;2021
Andreas Georg Alexander;Lang;1957;FREIE WÄHLER;Friesland – Wilhelmshaven – Wittmund;-1;-1;2021
Carsten;Zimmer;1977;MLPD;Friesland – Wilhelmshaven – Wittmund;-1;-1;2021
Andrea Gisela;Henning;1965;dieBasis;Friesland – Wilhelmshaven – Wittmund;-1;-1;2021
Stephan Theodor Johannes;Albani;1968;CDU;Oldenburg – Ammerland;-1;-1;2021
Dennis;Rohde;1986;SPD;Oldenburg – Ammerland;-1;-1;2021
Daniel Stephan;Rüdel;1992;FDP;Oldenburg – Ammerland;-1;-1;2021
Andreas;Paul;1978;AfD;Oldenburg – Ammerland;-1;-1;2021
Patrizia Susanne;Menge;1960;GRÜNE;Oldenburg – Ammerland;-1;-1;2021
Amira;Mohamed Ali;1980;DIE LINKE;Oldenburg – Ammerland;-1;-1;2021
Nicole;Striess;1972;FREIE WÄHLER;Oldenburg – Ammerland;-1;-1;2021
Holger Klaus Friedel;Lubitz;1971;PIRATEN;Oldenburg – Ammerland;-1;-1;2021
Michael;Krüger;1967;ÖDP;Oldenburg – Ammerland;-1;-1;2021
Johanna Friederike;Jensen;1988;MLPD;Oldenburg – Ammerland;-1;-1;2021
Werner Georg;Berends;1970;dieBasis;Oldenburg – Ammerland;-1;-1;2021
Jens;Ahrends;1960;LKR;Oldenburg – Ammerland;-1;-1;2021
Philipp Josef Erich;Albrecht;1995;CDU;Delmenhorst – Wesermarsch – Oldenburg-Land;-1;-1;2021
Susanne;Mittag;1958;SPD;Delmenhorst – Wesermarsch – Oldenburg-Land;-1;-1;2021
Christian;Dürr;1977;FDP;Delmenhorst – Wesermarsch – Oldenburg-Land;-1;-1;2021
Adam Jan;Golkontt;1984;AfD;Delmenhorst – Wesermarsch – Oldenburg-Land;-1;-1;2021
Christina-Johanne;Schröder;1983;GRÜNE;Delmenhorst – Wesermarsch – Oldenburg-Land;-1;-1;2021
Christian;Suhr;1980;DIE LINKE;Delmenhorst – Wesermarsch – Oldenburg-Land;-1;-1;2021
