Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;Listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Frank Marcel;Schmidt;1964;SSW;-1;Schleswig-Holstein;6;;;Kiel;Pressesprecher;2021
Claudia;Edmund;1959;SSW;-1;Schleswig-Holstein;7;;;Helgoland;Geschäftsinhaberin;2021
Thiemo;Koch;1965;SSW;-1;Schleswig-Holstein;8;;;Lübeck;selbstständig;2021
Merit Meta;Meyer;2002;SSW;-1;Schleswig-Holstein;9;;;Flensburg;Schülerin;2021
Keno Johannsen;Jaspers;1974;SSW;-1;Schleswig-Holstein;10;;;Großenwiehe;Maurer- und Betonbaumeister;2021
Chantal Angelika;Jehle;2003;SSW;-1;Schleswig-Holstein;11;;;Büdelsdorf;Schülerin;2021
Tjark Matthis;Jessen;1998;SSW;-1;Schleswig-Holstein;12;;;Flensburg;Student;2021
Susanna;Swoboda;1966;SSW;-1;Schleswig-Holstein;13;Dr.;;Kiel;Lehrerin;2021
Mats Lukas;Rosenbaum;2000;SSW;-1;Schleswig-Holstein;14;;;Tarp;Student;2021
Amina;Zink;2001;Team Todenhöfer;-1;Schleswig-Holstein;1;;;Stapelfeld;Studentin;2021
Sebastian;Knaack;1981;Team Todenhöfer;-1;Schleswig-Holstein;2;;;Schwarzenbek;RPA Developer;2021
Cengiz;Altay;1986;Team Todenhöfer;-1;Schleswig-Holstein;3;;;Lauenburg/ Elbe;Soldat auf Zeit;2021
Helge;Eggert;1949;Team Todenhöfer;-1;Schleswig-Holstein;4;;;Preetz;Pensionist;2021
Uwe;Kolli;1967;Team Todenhöfer;-1;Schleswig-Holstein;5;;;Lübeck;Industriemeister;2021
Katharina Marie;Waeger;1997;Volt;-1;Schleswig-Holstein;1;;;Kiel;Studentin;2021
Simon Martin;Wadehn;1999;Volt;-1;Schleswig-Holstein;2;;;Kiel;Student;2021
Nele;Blum;1995;Volt;-1;Schleswig-Holstein;3;;;Lübeck;wiss. Mitarbeiterin;2021
Fabio;Sánchez Copano;1996;Volt;-1;Schleswig-Holstein;4;;;Lübeck;Notfallsanitäter;2021
Kira Lynn;Larsen;1999;Volt;-1;Schleswig-Holstein;5;;;Flensburg;Studentin;2021
Ruben Merlin;Hill;1993;Volt;-1;Schleswig-Holstein;6;;;Kiel;Soldat auf Zeit;2021
Lea;Barckhan;2002;Volt;-1;Schleswig-Holstein;7;;;Kiel;Studentin;2021
Tim;Thomsen;1993;Volt;-1;Schleswig-Holstein;8;;;Flensburg;Student;2021
