Gruppenname;Gebietsnummer;jahr;Anzahl
FREIE WÄHLER;24;2021;4205
PIRATEN;24;2021;0
NPD;24;2021;0
V-Partei³;24;2021;0
ÖDP;24;2021;0
MLPD;24;2021;0
DKP;24;2021;0
dieBasis;24;2021;2156
du.;24;2021;0
LKR;24;2021;0
Die Humanisten;24;2021;0
Team Todenhöfer;24;2021;0
Volt;24;2021;0
EB: Lenz;24;2021;112
CDU;25;2021;77143
SPD;25;2021;49440
FDP;25;2021;10763
AfD;25;2021;13584
GRÜNE;25;2021;16434
DIE LINKE;25;2021;4358
Die PARTEI;25;2021;0
Tierschutzpartei;25;2021;0
FREIE WÄHLER;25;2021;0
PIRATEN;25;2021;0
NPD;25;2021;0
V-Partei³;25;2021;0
ÖDP;25;2021;0
MLPD;25;2021;0
DKP;25;2021;0
dieBasis;25;2021;1866
du.;25;2021;0
LKR;25;2021;0
Die Humanisten;25;2021;0
Team Todenhöfer;25;2021;0
Volt;25;2021;0
EB: Balzer;25;2021;159
CDU;26;2021;29286
SPD;26;2021;60392
FDP;26;2021;9502
AfD;26;2021;10227
GRÜNE;26;2021;13504
DIE LINKE;26;2021;3460
Die PARTEI;26;2021;2651
Tierschutzpartei;26;2021;0
FREIE WÄHLER;26;2021;2611
PIRATEN;26;2021;0
NPD;26;2021;0
V-Partei³;26;2021;0
ÖDP;26;2021;0
MLPD;26;2021;68
DKP;26;2021;0
dieBasis;26;2021;1275
du.;26;2021;0
LKR;26;2021;0
Die Humanisten;26;2021;0
Team Todenhöfer;26;2021;0
Volt;26;2021;0
CDU;27;2021;34294
SPD;27;2021;65757
FDP;27;2021;12859
AfD;27;2021;8572
GRÜNE;27;2021;35119
DIE LINKE;27;2021;10183
Die PARTEI;27;2021;0
Tierschutzpartei;27;2021;0
FREIE WÄHLER;27;2021;1416
PIRATEN;27;2021;1524
NPD;27;2021;0
V-Partei³;27;2021;0
ÖDP;27;2021;471
MLPD;27;2021;89
DKP;27;2021;0
dieBasis;27;2021;1907
du.;27;2021;0
LKR;27;2021;137
Die Humanisten;27;2021;0
Team Todenhöfer;27;2021;0
Volt;27;2021;0
CDU;28;2021;40410
SPD;28;2021;59377
FDP;28;2021;17278
AfD;28;2021;11999
GRÜNE;28;2021;21202
DIE LINKE;28;2021;4931
Die PARTEI;28;2021;2600
Tierschutzpartei;28;2021;0
FREIE WÄHLER;28;2021;2165
PIRATEN;28;2021;0
NPD;28;2021;0
V-Partei³;28;2021;0
ÖDP;28;2021;0
MLPD;28;2021;0
DKP;28;2021;0
dieBasis;28;2021;1905
du.;28;2021;0
LKR;28;2021;105
Die Humanisten;28;2021;0
Team Todenhöfer;28;2021;0
Volt;28;2021;0
CDU;29;2021;42085
SPD;29;2021;51417
FDP;29;2021;9622
AfD;29;2021;10227
GRÜNE;29;2021;15389
DIE LINKE;29;2021;2694
Die PARTEI;29;2021;1766
Tierschutzpartei;29;2021;2954
FREIE WÄHLER;29;2021;2102
PIRATEN;29;2021;0
NPD;29;2021;0
V-Partei³;29;2021;0
ÖDP;29;2021;0
